VES S/N,Easting (Min),Northing (Min),Elev(m),No. of Layer,Curve Types,"Res. of layer
p1/p2/…pn-1",Thickness of layers h1/h2/h3/h4,"Depth of layers
d1/d2/d3/d4",Thickness Topsoil h1(m),Thickness Laterite h2(m),Thickness weathered h3 (m),Corrected Thick. weathered (m),Thickness Fractured h4 (m),Corrcted Thick. Fractured (m),"Thick. Overb.
B1=h1+h2",Total Aquifer Thick. B2=h3+h4,Corrected Total Aquifer Thick,DTFB= B1 + B2,Corrected DTB,Recom. DBH,p1,p2,p3,p4,p5,Res. Of Topsoil,Res. Of Laterite,Long. Cond. (mhos) Topsoil,Long. Cond. (mhos) Laterite,Long. Cond. (mhos) OVERBURRDEN,Storage Weathered,Storage Fractured,TOTAL STORAGE,Logarithm of Topsoil,RESISTIVITY OF FRESH BASEMENT,Logarithm Fresh Basement,"AQUIFER RES of Weathered. 
(Ohm-M)",Logarithm Weathered,Hydraulic Conductivity (K),Transmissivity (T),Cost of Constructing Borehole
201,35.08,30.73,284,3,H,125.6/18.8/397.7,1.6/23,1.6/24.6,1.6,0,23,24.587,0,0,1.6,23,24.587,24.6,26.2974,41.2974,125.6,18.8,397.7,,,125.6,0,0.013,0.000,0.013,29.504,0.000,29.504,2.099,397.700,2.600,18.800,1.274,25.0302,615.41771,268433.10
202,35.93,30.06,471,4,HA,98.3/24.7/50.7/3009.7,1.4/3.0/31.7,1.4/4.3/36.1,1.4,3,31.7,33.8873,0,0,4.4,31.7,33.8873,36.1,38.5909,53.5909,98.3,24.7,50.7,3009.7,,98.3,24.7,0.014,0.121,0.136,40.665,0.000,40.665,1.993,3009.700,3.479,24.700,1.393,19.4038,657.54365,348340.85
203,35.72,30.25,337,4,KH,98.1/1613.9/12.8/1433.3,0.3/0.8/5.8,0.3/1.1/6.9,0.3,0.8,5.8,6.2002,0,0,1.1,5.8,6.2002,6.9,7.3761,22.3761,98.1,1613.9,12.8,1433.3,,98.1,1614,0.003,0.000,0.004,7.440,0.000,7.440,1.992,1433.300,3.156,12.800,1.107,35.8260,222.12843,145444.65
204,34.82,30.12,306,4,KH,146.6/2240.5/16.0/327.9,0.4/1.1/6.6,0.4/1.5/8.1,0.4,1.1,6.6,7.0554,0,0,1.5,6.6,7.0554,8.1,8.6589,23.6589,146.6,2240.5,16,327.9,,146.6,2241,0.003,0.000,0.003,8.466,0.000,8.466,2.166,327.900,2.516,16.000,1.204,29.0936,205.26718,153782.85
205,35.52,30.43,314,3,H,269.5/133.6/720.4,10.1/22,10.1/32.1,10.1,0,22,23.518,0,0,10.1,22,23.518,32.1,34.3149,49.3149,269.5,133.6,720.4,,,269.5,0,0.037,0.000,0.037,28.222,0.000,28.222,2.431,720.400,2.858,133.600,2.126,4.0181,94.49775,320546.85
206,35.83,30.36,330,4,KH,430.7/1598.0/85.4/6308.1,5.2/26/8.0,5.2/31.2/39.2,5.2,26,8,8.552,0,0,31.2,8,8.552,39.2,41.9048,56.9048,430.7,1598,85.4,6308.1,,430.7,1598,0.012,0.016,0.028,10.262,0.000,10.262,2.634,6308.100,3.800,85.400,1.931,6.0998,52.16545,369881.20
207,35.93,30.35,339,4,KH,132.5/3325.0/141.6/2503.3,4.0/7.1/28,4.0/11.1/39.1,4,7.1,28,29.932,0,0,11.1,28,29.932,39.1,41.7979,56.7979,132.5,3325,141.6,2503.3,,132.5,3325,0.030,0.002,0.032,35.918,0.000,35.918,2.122,2503.300,3.399,141.600,2.151,3.8059,113.91909,369186.35
208,35.52,30.32,395,4,KH,284.2/112.7/353.2/510.8,2.0/10.5/12.8,2.0/12.5/25.3,2,10.5,12.8,13.6832,0,0,12.5,12.8,13.6832,25.3,27.0457,42.0457,284.2,112.7,353.2,510.8,,284.2,112.7,0.007,0.093,0.100,16.420,0.000,16.420,2.454,510.800,2.708,12.700,1.104,36.0891,493.81419,273297.05
209,35.53,30.04,357,4,KH,143.7/316.1/43.5/203.8,0.7/1.2/21.0,0.7/1.9/22.9,0.7,1.2,21,22.449,0,0,1.9,21,22.449,22.9,24.4801,39.4801,143.7,316.1,43.5,203.8,,143.7,316.1,0.005,0.004,0.009,26.939,0.000,26.939,2.157,203.800,2.309,43.500,1.638,11.4447,256.92253,256620.65
210,34.64,30.05,300,3,H,247.9/24.1/150.0,1.8/12.0,1.8/13.7,1.8,0,12,12.828,0,0,1.8,12,12.828,13.8,14.7522,29.7522,247.9,24.1,150,,,247.9,24.1,0.007,0.000,0.007,15.394,0.000,15.394,2.394,150.000,2.176,24.100,1.382,19.8541,254.68837,193389.30
