VES S/N,Easting (Min),Northing (Min),Elev(m),No. of Layer,Curve Types,"Res. of layer
p1/p2/…pn-1",Thickness of layers h1/h2/h3/h4,"Depth of layers
d1/d2/d3/d4",Thickness Topsoil h1(m),Thickness Laterite h2(m),Thickness weathered h3 (m),Corrected Thick. weathered (m),Thickness Fractured h4 (m),Corrcted Thick. Fractured (m),"Thick. Overb.
B1=h1+h2",Total Aquifer Thick. B2=h3+h4,Corrected Total Aquifer Thick,DTFB= B1 + B2,Corrected DTB,Recom. DBH,p1,p2,p3,p4,p5,Res. Of Topsoil,Res. Of Laterite,Long. Cond. (mhos) Topsoil,Long. Cond. (mhos) Laterite,Long. Cond. (mhos) OVERBURRDEN,Storage Weathered,Storage Fractured,TOTAL STORAGE,Logarithm of Topsoil,RESISTIVITY OF FRESH BASEMENT,Logarithm Fresh Basement,"AQUIFER RES of Weathered. 
(Ohm-M)",Logarithm Weathered,Hydraulic Conductivity (K),Transmissivity (T),Cost of Constructing Borehole
1,36.94,28,343,4,KH,128.3/213/52.7/137.7,1.1/4.9/23.4,1.1/6.1/29.5,1.1,4.9,23.4,25.0146,0,0,6,23.4,25.0146,29.4,31.4286,46.4286,128.3,213,52.7,137.7,,128.3,213,0.009,0.023,0.032,30.018,0.000,30.018,2.108,137.700,2.139,52.700,1.722,9.5693,239.37241,301785.90
2,36.73,28.8,359,4,KH,518/583/252/752,0.8/1.6/22.7,0.8/2.5/25.2,0.8,1.6,22.7,24.2663,0,0,2.4,22.7,24.2663,25.1,26.8319,41.8319,518,583,252,752,,518,518,0.002,0.003,0.005,29.120,0.000,29.120,2.714,752.000,2.876,252.000,2.401,2.2230,53.94388,271907.35
3,36.6,28.75,397,3,A,12.4/68/385.6,0.8/9.5,0.8/10.4,0.8,0,9.5,10.1555,0,0,0.8,9.5,10.1555,10.3,11.0107,26.0107,12.4,68,385.6,,,12.4,0,0.065,0.000,0.065,12.187,0.000,12.187,1.093,385.600,2.586,68.000,1.833,7.5443,76.61594,169069.55
4,36.84,29.58,342,3,H,309.8/174.1/3533.3,0.9/6.7,0.9/7.6,0.9,0,6.7,7.1623,0,0,0.9,6.7,7.1623,7.6,8.1244,23.1244,309.8,174.1,3533.3,,,309.8,0,0.003,0.000,0.003,8.595,0.000,8.595,2.491,3533.300,3.548,174.100,2.241,3.1387,22.48047,150308.60
5,36.6,29.54,348,3,H,1303.7/292.7/940.5,2.5/62.2,2.5/64.7,2.5,0,62.2,66.4918,0,0,2.5,62.2,66.4918,64.7,69.1643,84.1643,1303.7,292.7,940.5,,,1303.7,0,0.002,0.000,0.002,79.790,0.000,79.790,3.115,940.500,2.973,292.700,2.466,1.9332,128.54409,547067.95
6,36.89,28.49,357,4,AK,51/88.4/1212/267.5,1.0/14.8/52.1,1.0/15.7/67.8,1,14.8,52.1,55.6949,0,0,15.8,52.1,55.6949,67.9,72.5851,87.5851,51,88.4,1212,267.5,,51,88.4,0.020,0.167,0.187,66.834,0.000,66.834,1.708,267.500,2.427,88.400,1.946,5.9065,328.96029,569303.15
7,36.79,28.15,387,3,A,53.7/125.1/5266.2,0.9/17.1,0.9/18.0,0.9,0,17.1,18.2799,0,0,0.9,17.1,18.2799,18,19.242,34.242,53.7,125.1,5266.2,,,53.7,0,0.017,0.000,0.017,21.936,0.000,21.936,1.730,5266.200,3.721,125.000,2.097,4.2754,78.15385,222573.00
8,36.53,28.46,310,4,HA,298.9/122.3/1378.9/3687.6,1.8/9.6/7.1,1.8/11.4/18.4,1.8,9.6,7.1,7.5899,0,0,11.4,7.1,7.5899,18.5,19.7765,34.7765,298.9,122.3,1378.9,3687.6,,298.9,122.3,0.006,0.078,0.085,9.108,0.000,9.108,2.476,3687.600,3.567,122.300,2.087,4.3634,33.11762,226047.25
9,36.08,30.06,390,3,H,266.5/45.4/634.7,2.0/12.7,2.0/14.6,2,0,12.7,13.5763,0,0,2,12.7,13.5763,14.7,15.7143,30.7143,266.5,45.4,634.7,,,266.5,0,0.008,0.000,0.008,16.292,0.000,16.292,2.426,634.700,2.803,45.400,1.657,10.9973,149.30252,199642.95
10,36.07,28.18,355,3,H,84.8/44.2/129.7,2.1/6.3,2.1/8.3,2.1,0,6.3,6.7347,0,0,2.1,6.3,6.7347,8.4,8.9796,23.9796,84.8,44.2,129.7,,,84.8,0,0.025,0.000,0.025,8.082,0.000,8.082,1.928,129.700,2.113,44.200,1.645,11.2756,75.93747,155867.40
11,36.88,28.56,362,4,KH,34.2/69.5/49.9/297.5,0.6/2.2/7.6,0.6/2.8/10.4,0.6,2.2,7.6,8.1244,0,0,2.8,7.6,8.1244,10.4,11.1176,26.1176,34.2,69.5,49.9,297.5,,34.2,69.5,0.018,0.032,0.049,9.749,0.000,9.749,1.534,297.500,2.473,49.900,1.698,10.0693,81.80678,169764.40
12,36.79,28.15,387,4,HA,177.0/87.6/126.1/4526.6,0.5/1.5/17.1,0.5/2.0/19.2,0.5,1.5,17.1,18.2799,0,0,2,17.1,18.2799,19.1,20.4179,35.4179,177,87.6,126.1,4526.6,,177,87.6,0.003,0.017,0.020,21.936,0.000,21.936,2.248,4526.600,3.656,87.600,1.943,5.9568,108.88921,230216.35
13,36.58,29.63,325,4,KH,72.9/348.9/54.4/2465.8,0.3/1.1/5.2,0.3/1.5/6.7,0.3,1.1,5.2,5.5588,0,0,1.4,5.2,5.5588,6.6,7.0554,22.0554,72.9,348.9,54.4,2465.8,,72.9,348.9,0.004,0.003,0.007,6.671,0.000,6.671,1.863,2465.800,3.392,54.400,1.736,9.2901,51.64157,143360.10
14,36.93,29.77,343,3,K,167.2/2110.1/383.9,2.0/10.6,2.0/12.6,2,0,10.6,11.3314,0,0,2,10.6,11.3314,12.6,13.4694,28.4694,167.2,2110.1,383.9,,,167.2,0,0.012,0.000,0.012,13.598,0.000,13.598,2.223,383.900,2.584,110.000,2.041,4.8169,54.58186,185051.10
15,36.91,29.79,339,3,K,200.0/1317.5/511.8,3.1/23.9,3.1/27.1,3.1,0,23.9,25.5491,0,0,3.1,23.9,25.5491,27,28.863,43.863,200,1317.5,511.8,,,200,0,0.016,0.000,0.016,30.659,0.000,30.659,2.301,511.800,2.709,131.000,2.117,4.0924,104.55831,285109.50
16,36.7,29.84,339,4,KH,212.2/720.2/105.8/1469.9,0.5/1.5/6.4,0.5/1.9/8.3,0.5,1.5,6.4,6.8416,0,0,2,6.4,6.8416,8.4,8.9796,23.9796,212.2,720.2,105.8,1469.9,,212.2,720.2,0.002,0.002,0.004,8.210,0.000,8.210,2.327,1469.900,3.167,105.800,2.024,4.9950,34.17384,155867.40
17,37.07,29.05,348,4,HA,120.8/17.6/300.7/623.7,1.8/4.0/34.4,1.8/5.8/40.2,1.8,5.8,34.4,36.7736,0,0,7.6,34.4,36.7736,42,44.898,59.898,120.8,17.6,300.7,623.7,,120.8,177.6,0.015,0.033,0.048,44.128,0.000,44.128,2.082,623.700,2.795,300.000,2.477,1.8893,69.47687,389337.00
18,36.05,28.87,328,3,A,13.7/135.8/327.0,0.4/10.1,0.4/10.5,0.4,0,10.1,10.7969,0,0,0.4,10.1,10.7969,10.5,11.2245,26.2245,13.7,135.8,327,,,13.7,0,0.029,0.000,0.029,12.956,0.000,12.956,1.137,327.000,2.515,135.800,2.133,3.9573,42.72709,170459.25
19,37,29.04,342,4,HA,157.0/18.7/455.5/341,1.3/3.7/26.9,1.3/5.0/31.9,1.3,3.7,26.9,28.7561,0,0,5,26.9,28.7561,31.9,34.1011,49.1011,157,18.7,455.5,341,,157,18.7,0.008,0.198,0.206,34.507,0.000,34.507,2.196,341.000,2.533,18.700,1.272,25.1550,723.36101,319157.15
20,36.6,29.06,296,4,KA,172.1/246.2/69.2/1130.4,1.0/2.6/6.2,1.0/3.7/9.8,1,2.6,6.2,6.6278,0,0,3.6,6.2,6.6278,9.8,10.4762,25.4762,172.1,246.2,69.2,1130.4,,172.1,246.2,0.006,0.011,0.016,7.953,0.000,7.953,2.236,1130.400,3.053,69.200,1.840,7.4222,49.19266,165595.30
21,36.86,28.51,350,3,H,108.8/27.8/1200.4,1.8/17.5,1.8/19.2,1.8,0,17.5,18.7075,0,0,1.8,17.5,18.7075,19.3,20.6317,35.6317,108.8,27.8,1200.4,,,108.8,0,0.017,0.000,0.017,22.449,0.000,22.449,2.037,1200.400,3.079,27.800,1.444,17.3776,325.09071,231606.05
22,36.85,27.6,294,4,AH,63.9/874/72.5/867.5,1.7/3.8/12.7,1.7/5.5/18.2,1.7,3.8,12.7,13.5763,0,0,5.5,12.7,13.5763,18.2,19.4558,34.4558,63.9,874,72.5,867.5,,63.9,874,0.027,0.004,0.031,16.292,0.000,16.292,1.806,867.500,2.938,54.500,1.736,9.2742,125.90872,223962.70
23,36.72,29.12,304,3,H,378/67.6/1022.0,2.5/17.1,2.5/19.6,2.5,0,17.1,18.2799,0,0,2.5,17.1,18.2799,19.6,20.9524,35.9524,378,67.6,1022,,,378,0,0.007,0.000,0.007,21.936,0.000,21.936,2.577,1022.000,3.009,67.600,1.830,7.5859,138.66976,233690.60
24,37.08,29.29,304,3,H,69.51/22.51/100.72,2.2/7.6,2.2/9.8,2.2,0,9.8,10.4762,0,0,2.2,9.8,10.4762,12,12.828,27.828,69.51,22.51,100.72,,,69.51,0,0.032,0.000,0.032,12.571,0.000,12.571,1.842,100.720,2.003,87.300,1.941,5.9759,62.60436,180882.00
25,36.41,28.51,357,4,HA,216.3/54.7/826.3/1968.2,2.5/8.1/9.8,2.5/10.5/20.4,2.5,8.1,9.8,10.4762,0,0,10.6,9.8,10.4762,20.4,21.8076,36.8076,216.3,54.7,826.3,1968.2,,216.3,54.7,0.012,0.148,0.160,12.571,0.000,12.571,2.335,1968.200,3.294,54.700,1.738,9.2425,96.82649,239249.40
26,37.02,28.71,315,3,H,171.6/33.4/173.9,1.7/15.7,1.1/17.5,1.7,0,15.7,16.7833,0,0,1.7,15.7,16.7833,17.4,18.6006,33.6006,171.6,33.4,173.9,,,171.6,0,0.010,0.000,0.010,20.140,0.000,20.140,2.235,173.900,2.240,33.400,1.524,14.6434,245.76388,218403.90
27,36.37,29.05,301,3,H,174.8/43.7/956.8,2.3/6.8,2.3/9.1,2.3,0,6.8,7.2692,0,0,2.3,6.8,7.2692,9.1,9.7279,24.7279,174.8,43.7,956.8,,,174.8,0,0.013,0.000,0.013,8.723,0.000,8.723,2.243,956.800,2.981,43.700,1.640,11.3959,82.83873,160731.35
28,36.97,28.55,358,3,H,704.5/424.9/1094.4,8.8/29.5,9.9/39.4,8.8,0,29.5,31.5355,0,0,8.8,29.5,31.5355,38.3,40.9427,55.9427,704.5,424.9,1094.4,,,704.5,0,0.012,0.000,0.012,37.843,0.000,37.843,2.848,1094.400,3.039,296.000,2.471,1.9131,60.33118,363627.55
29,36.42,30.62,347,3,H,444.4/92.5/6850.8,1.6/19.9,1.6/21.4,1.6,0,19.9,21.2731,0,0,1.6,19.9,21.2731,21.5,22.9835,37.9835,444.4,92.5,6850.8,,,444.4,0,0.004,0.000,0.004,25.528,0.000,25.528,2.648,6850.800,3.836,92.500,1.966,5.6619,120.44587,246892.75
30,36.24,30.47,329,3,H,259.1/52.7/344.5,1.2/15.6,1.2/16.7,1.2,0,15.6,16.6764,0,0,1.2,15.6,16.6764,16.8,17.9592,32.9592,259.1,52.7,344.5,,,259.1,0,0.005,0.000,0.005,20.012,0.000,20.012,2.413,344.500,2.537,52.700,1.722,9.5693,159.58160,214234.80
31,36.27,30.38,328,4,KH,205.4/1023.9/91.0/3782.9,0.8/2.5/14.1,0.8/3.3/17.4,0.8,2.5,14.1,15.0729,0,0,3.3,14.1,15.0729,17.4,18.6006,33.6006,205.4,1023.9,91,3782.9,,205.4,1024,0.004,0.002,0.006,18.087,0.000,18.087,2.313,3782.900,3.578,91.000,1.959,5.7489,86.65255,218403.90
32,36.22,29.89,385,4,KH,48.9/407.9/26.4/559.0,1.0/2.5/9.8,1.0/3.4/13.3,1,2.5,9.8,10.4762,0,0,3.5,9.8,10.4762,13.3,14.2177,29.2177,48.9,407.9,26.4,559,,48.9,407.9,0.020,0.006,0.027,12.571,0.000,12.571,1.689,559.000,2.747,26.400,1.422,18.2357,191.04079,189915.05
33,36.62,30.69,300,3,H,222.7/42.9/398.4,2.3/4.6,2.3/6.9,2.3,0,4.6,4.9174,0,0,2.3,4.6,4.9174,6.9,7.3761,22.3761,222.7,42.9,398.4,,,222.7,0,0.010,0.000,0.010,5.901,0.000,5.901,2.348,398.400,2.600,42.900,1.632,11.5940,57.01216,145444.65
34,36.08,30.05,372,4,KH,366.6/1999/281.1/1380.3,1.7/2.2/5.4,1.7/3.9/9.2,1.7,2.2,5.4,5.7726,0,0,3.9,5.4,5.7726,9.3,9.9417,24.9417,366.6,1999,281.1,1380.3,,366.6,1999,0.005,0.001,0.006,6.927,0.000,6.927,2.564,1380.300,3.140,281.100,2.449,2.0075,11.58878,162121.05
35,36.7,33.54,321,3,H,111.0/30.6/238.8,1.5/15.0,1.5/16.5,1.5,0,15,16.035,0,0,1.5,15,16.035,16.5,17.6385,32.6385,111,30.6,238.8,,,111,0,0.014,0.000,0.014,19.242,0.000,19.242,2.045,238.800,2.378,30.600,1.486,15.8896,254.78894,212150.25
36,36.34,30.11,313,4,HA,117.2/24.2/385.3/1050.4,1.3/4.4/15.2,1.3/5.6/20.8,1.3,4.4,15.2,16.2488,0,0,5.7,15.2,16.2488,20.9,22.3421,37.3421,117.2,24.2,385.3,1050.4,,117.2,24.2,0.011,0.182,0.193,19.499,0.000,19.499,2.069,1050.400,3.021,24.200,1.384,19.7776,321.36156,242723.65
37,34.82,30.12,388,4,KH,32.6/99.0/20.0/578.0,0.7/7.7/17.5,0.7/8.4/25.9,0.7,7.7,17.5,18.7075,0,0,8.4,17.5,18.7075,25.9,27.6871,42.6871,32.6,99,20,578,,32.6,99,0.021,0.078,0.099,22.449,0.000,22.449,1.513,578.000,2.762,20.000,1.301,23.6264,441.99063,277466.15
38,36.42,30.48,355,3,H,343.7/105.7/2961.4,1.8/12.5,1.8/14.3,1.8,0,14.3,15.2867,0,0,1.8,14.3,15.2867,16.1,17.2109,32.2109,343.7,105.7,2961.4,,,343.7,105.7,0.005,0.000,0.005,18.344,0.000,18.344,2.536,2961.400,3.471,105.700,2.024,4.9994,76.42457,209370.85
39,36.34,30.82,398,3,H,128.6/41.6/423.8,1.1/9.1,1.1/10.3,1.1,0,9.1,9.7279,0,0,1.1,9.1,9.7279,10.2,10.9038,25.9038,128.6,41.6,423.8,,,128.6,0,0.009,0.000,0.009,11.673,0.000,11.673,2.109,423.800,2.627,41.600,1.619,11.9316,116.06930,168374.70
40,36.37,30.6,344,3,A,335.3/307.8/2907.2,1.8/5.7,1.8/7.4,1.8,0,5.7,6.0933,0,0,1.8,5.7,6.0933,7.5,8.0175,23.0175,335.3,307.8,2907.2,,,335.3,0,0.005,0.000,0.005,7.312,0.000,7.312,2.525,2907.200,3.463,307.800,2.488,1.8446,11.23979,149613.75
41,36.42,31.6,311,3,H,234.7/118.2/942.3,1.5/13.3,1.5/14.8,1.5,0,14.8,15.8212,0,0,1.5,14.8,15.8212,16.3,17.4247,32.4247,234.7,118.2,942.3,,,234.7,0,0.006,0.000,0.006,18.985,0.000,18.985,2.371,942.300,2.974,118.200,2.073,4.5044,71.26508,210760.55
42,36.4,32.24,306,3,H,230.9/37.0/523.6,2.0/22.9,2.0/24.9,2,0,22.9,24.4801,0,0,2,22.9,24.4801,24.9,26.6181,41.6181,230.9,37,523.6,,,230.9,0,0.009,0.000,0.009,29.376,0.000,29.376,2.363,523.600,2.719,37.000,1.568,13.3098,325.82522,270517.65
43,36.48,31.74,303,3,H,313.0/78.1/735.2,1.8/18.7,1.8/20.4,1.8,0,18.7,19.9903,0,0,1.8,18.7,19.9903,20.5,21.9145,36.9145,313,78.1,735.2,,,313,0,0.006,0.000,0.006,23.988,0.000,23.988,2.496,735.200,2.866,78.100,1.893,6.6300,132.53628,239944.25
44,36.86,32.16,309,4,HA,116.4/36.2/719.3/835.0,1.9/5.6/15.2,1.9/7.5/22.7,1.9,5.6,15.2,16.2488,0,0,7.5,15.2,16.2488,22.7,24.2663,39.2663,116.4,36.2,719.3,835,,116.4,36.2,0.016,0.155,0.171,19.499,0.000,19.499,2.066,835.000,2.922,36.200,1.559,13.5840,220.72336,255230.95
45,36.53,30.57,311,3,H,231.7/49.2/2168.2,1.9/13.3,1.9/15.2,1.9,0,13.3,14.2177,0,0,1.9,13.3,14.2177,15.2,16.2488,31.2488,231.7,49.2,2168.2,,,231.7,0,0.008,0.000,0.008,17.061,0.000,17.061,2.365,2168.200,3.336,49.200,1.692,10.2028,145.06100,203117.20
46,36.17,30.45,359,3,H,307.5/73.7/463.5,1.9/15.7,1.9/17.5,1.9,0,15.7,16.7833,0,0,1.9,15.7,16.7833,17.6,18.8144,33.8144,307.5,73.7,463.5,,,307.5,0,0.006,0.000,0.006,20.140,0.000,20.140,2.488,463.500,2.666,73.700,1.867,6.9985,117.45859,219793.60
47,36.49,32.76,275,3,H,169.7/29.2/376.9,1.6/9.5,1.6/11.2,1.6,0,9.5,10.1555,0,0,1.6,9.5,10.1555,11.1,11.8659,26.8659,169.7,29.2,376.9,,,169.7,0,0.009,0.000,0.009,12.187,0.000,12.187,2.230,376.900,2.576,29.200,1.465,16.5991,168.57196,174628.35
48,37.06,32.02,332,3,H,419.5/212.8/526.7,2.1/14.0,2.1/16.2,2.1,0,16.2,17.3178,0,0,2.1,16.2,17.3178,18.3,19.5627,34.5627,419.5,212.8,526.7,,,419.5,0,0.005,0.000,0.005,20.781,0.000,20.781,2.623,526.700,2.722,212.800,2.328,2.6028,45.07420,224657.55
49,36.24,30.57,298,3,H,228.5/73.6/254.0,0.5/6.6,0.5/7.1,0.5,0,6.6,7.0554,0,0,0.5,6.6,7.0554,7.1,7.5899,22.5899,228.5,73.6,254,,,228.5,0,0.002,0.000,0.002,8.466,0.000,8.466,2.359,254.000,2.405,73.600,1.867,7.0074,49.44008,146834.35
50,31.33,28.34,343,3,H,130.0/50.1/174.8,1.0/9.2,1.0/10.2,1,0,9.2,9.8348,0,0,1,9.2,9.8348,10.2,10.9038,25.9038,130,50.1,174.8,,,130,0,0.008,0.000,0.008,11.802,0.000,11.802,2.114,174.800,2.243,50.100,1.700,10.0318,98.66043,168374.70
51,31.37,30.43,314,4,KH,57.9/268.8/15.4/331.4,0.4/1.0/13.9,0.4/1.5/15.4,0.4,1,13.9,14.8591,0,0,1.4,13.9,14.8591,15.3,16.3557,31.3557,57.9,268.8,15.4,331.4,,57.9,268.8,0.007,0.004,0.011,17.831,0.000,17.831,1.763,331.400,2.520,15.400,1.188,30.1496,447.99655,203812.05
52,31.66,29.37,361,3,H,51.7/13.2/59.2,2.5/7.3,2.5/9.8,2.5,0,7.3,7.8037,0,0,2.5,7.3,7.8037,9.8,10.4762,25.4762,51.7,13.2,59.2,,,51.7,0,0.048,0.000,0.048,9.364,0.000,9.364,1.713,59.200,1.772,13.200,1.121,34.8123,271.66438,165595.30
53,31.43,32.91,321,3,Q,951.7/56.4/80.8,2.1/19.8,2.1/21.9,2.1,0,19.8,21.1662,0,0,2.1,19.8,21.1662,21.9,23.4111,38.4111,951.7,56.4,80.8,,,951.7,0,0.002,0.000,0.002,25.399,0.000,25.399,2.979,80.800,1.907,56.400,1.751,8.9824,190.12285,249672.15
54,31.9,30.53,327,4,HA,53.9/10.9/45.5/583.8,1.4/2.5/31.5,1.4/3.8/35.3,1.4,2.5,31.5,33.6735,0,0,3.9,31.5,33.6735,35.4,37.8426,52.8426,53.9,10.9,45.5,583.8,,53.9,10.9,0.026,0.229,0.255,40.408,0.000,40.408,1.732,583.800,2.766,10.900,1.037,41.6193,1401.46681,343476.90
55,30.88,29.62,370,3,H,166.2/35.5/3675.8,2.0/12.6,2.0/14.6,2,0,12.6,13.4694,0,0,2,12.6,13.4694,14.6,15.6074,30.6074,166.2,35.5,3675.8,,,166.2,0,0.012,0.000,0.012,16.163,0.000,16.163,2.221,3675.800,3.565,35.500,1.550,13.8337,186.33132,198948.10
56,30.77,30.14,143,3,H,201.4/16.8/108.7,1.5/7.0,1.5/8.5,1.5,0,7,7.483,0,0,1.5,7,7.483,8.5,9.0865,24.0865,201.4,16.8,108.7,,,201.4,0,0.007,0.000,0.007,8.980,0.000,8.980,2.304,108.700,2.036,16.800,1.225,27.7992,208.02120,156562.25
57,29.57,30.66,370,4,KH,211.5/397.6/18.3/177.6,0.9/2.2/12.3,0.9/3.1/15.4,0.9,2.2,12.3,13.1487,0,0,3.1,12.3,13.1487,15.4,16.4626,31.4626,211.5,397.6,18.3,177.6,,211.5,397.6,0.004,0.006,0.010,15.778,0.000,15.778,2.325,177.600,2.249,18.300,1.262,25.6676,337.49527,204506.90
58,29.82,28.4,372,4,KH,269.2/924.3/65.0/425.3,0.7/1.1/18.5,0.7/1.8/20.3,0.7,1.1,18.5,19.7765,0,0,1.8,18.5,19.7765,20.3,21.7007,36.7007,269.2,924.3,65,425.3,,269.2,924.3,0.003,0.001,0.004,23.732,0.000,23.732,2.430,425.300,2.629,65.000,1.813,7.8686,155.61325,238554.55
59,30.55,30.71,314,4,KH,131.1/1212.6/44.6/120.2,0.4/0.9/5.6,0.4/1.3/6.9,0.4,0.9,5.6,5.9864,0,0,1.3,5.6,5.9864,6.9,7.3761,22.3761,131.1,1212.6,44.6,120.2,,131.1,1213,0.003,0.001,0.004,7.184,0.000,7.184,2.118,120.200,2.080,44.600,1.649,11.1812,66.93508,145444.65
60,31.25,30.55,305,3,H,265.0/29.9/89.9,3.7/47.5,3.7/51.2,3.7,0,47.5,50.7775,0,0,3.7,47.5,50.7775,51.2,54.7328,69.7328,265,29.9,89.9,,,265,0,0.014,0.000,0.014,60.933,0.000,60.933,2.423,89.900,1.954,29.900,1.476,16.2363,824.43815,453263.20
61,30.05,29.58,356,4,KH,143.2/469.5/104.8/794.4,1.7/5.1/14.9,1.7/6.8/21.7,1.7,5.1,14.9,15.9281,0,0,6.8,14.9,15.9281,21.7,23.1973,38.1973,143.2,469.5,104.8,794.4,,143.2,469.5,0.012,0.011,0.023,19.114,0.000,19.114,2.156,794.400,2.900,104.800,2.020,5.0395,80.26893,248282.45
62,30.77,30.14,356,4,KH,98.9/453.6/102.0/533.9,1.2/4.8/14.3,1.2/6.0/20.3,1.2,4.8,14.3,15.2867,0,0,6,14.3,15.2867,20.3,21.7007,36.7007,98.9,453.6,102,533.9,,98.9,453.6,0.012,0.011,0.023,18.344,0.000,18.344,1.995,533.900,2.727,102.000,2.009,5.1684,79.00751,238554.55
63,31.01,29.79,338,4,HK,176.9/36.1/140.9/26.1,1.0/5.0/17.5,1.0/6.0/23.5,1,5,17.5,18.7075,0,0,6,17.5,18.7075,23.5,25.1215,40.1215,176.9,36.1,140.9,26.1,,176.9,36.1,0.006,0.139,0.144,22.449,0.000,22.449,2.248,26.100,1.417,36.100,1.558,13.6191,254.77888,260789.75
64,30.51,30.25,316,3,H,79.5/10.7/365.4,2.1/14.1,2.1/16.2,2.1,0,14.1,15.0729,0,0,2.1,14.1,15.0729,16.2,17.3178,32.3178,79.5,10.7,365.4,,,79.5,0,0.026,0.000,0.026,18.087,0.000,18.087,1.900,365.400,2.563,10.700,1.029,42.3445,638.25447,210065.70
65,31.82,31.45,397,4,HA,62.0/13.7/149.9/268.0,0.9/4.2/14.7,0.9/5.2/19.6,0.9,4.2,14.7,15.7143,0,0,5.1,14.7,15.7143,19.8,21.1662,36.1662,62,13.7,149.9,268,,62,13.7,0.015,0.307,0.321,18.857,0.000,18.857,1.792,268.000,2.428,13.700,1.137,33.6256,528.40280,235080.30
66,30.76,30.45,316,4,HA,37.1/4.6/369.1/95.2,0.5/3.9/37.3,0.5/4.5/41.9,0.5,3.9,37.3,39.8737,0,0,4.4,37.3,39.8737,41.7,44.5773,59.5773,37.1,4.6,369.1,95.2,,37.1,4.6,0.013,0.848,0.861,47.848,0.000,47.848,1.569,95.200,1.979,4.600,0.663,93.0672,3710.93431,387252.45
67,31.03,29.81,423,3,H,74.3/39.3/197.6,0.5/22.5,0.5/23.2,0.5,0,22.5,24.0525,0,0,0.5,22.5,24.0525,23,24.587,39.587,74.3,39.3,197.6,,,74.3,0,0.007,0.000,0.007,28.863,0.000,28.863,1.871,197.600,2.296,39.300,1.594,12.5817,302.62175,257315.50
68,31.15,32.27,326,4,KH,63.5/2220.7/30.9/1128.8,0.4/1.4/8.6,0.4/1.8/10.4,0.4,1.4,8.6,9.1934,0,0,1.8,8.6,9.1934,10.4,11.1176,26.1176,63.5,2220.7,30.9,1128.8,,63.5,2221,0.006,0.001,0.007,11.032,0.000,11.032,1.803,1128.800,3.053,30.900,1.490,15.7456,144.75558,169764.40
69,30.01,31.99,327,4,HK,480.9/537.2/116.0/2364,1.6/7.0/23.6,1.6/8.6/44.4,1.6,7,23.6,25.2284,0,0,8.6,23.6,25.2284,32.2,34.4218,49.4218,480.9,537.2,116,2364,,480.9,537.2,0.003,0.013,0.016,30.274,0.000,30.274,2.682,116.000,2.064,37.200,1.571,13.2430,334.10060,321241.70
70,31.88,30.07,337,3,H,77.5/22.6/249.4,1.2/21.4,1.2/22.6,1.2,0,21.4,22.8766,0,0,1.2,21.4,22.8766,22.6,24.1594,39.1594,77.5,22.6,249.4,,,77.5,0,0.015,0.000,0.015,27.452,0.000,27.452,1.889,249.400,2.397,22.500,1.352,21.1680,484.25284,254536.10
71,31.38,29.88,328,3,H,61.6/16.5/301.9,1.4/18.6,1.4/20.0,1.4,0,18.6,19.8834,0,0,1.4,18.6,19.8834,20,21.38,36.38,61.6,16.5,301.9,,,61.6,0,0.023,0.000,0.023,23.860,0.000,23.860,1.790,301.900,2.480,16.500,1.217,28.2704,562.11118,236470.00
72,30.98,29.35,364,4,KH,52.1/170.0/31.3/247.4,0.7/2.0/12.9,0.7/2.7/15.6,0.7,2,12.9,13.7901,0,0,2.7,12.9,13.7901,15.6,16.6764,31.6764,52.1,170,31.3,247.4,,52.1,170,0.013,0.012,0.025,16.548,0.000,16.548,1.717,247.400,2.393,31.300,1.496,15.5578,214.54377,205896.60
73,31.9,30.85,337,3,H,101.7/13.2/537.7,2.7/13.4,2.7/16.1,2.7,0,13.4,14.3246,0,0,2.7,13.4,14.3246,16.1,17.2109,32.2109,101.7,13.2,537.7,,,101.7,0,0.027,0.000,0.027,17.190,0.000,17.190,2.007,537.700,2.731,13.200,1.121,34.8123,498.67161,209370.85
74,31.13,30.09,321,3,H,86.3/22.6/369.5,1.2/8.4,1.2/9.7,1.2,0,8.4,8.9796,0,0,1.2,8.4,8.9796,9.6,10.2624,25.2624,86.3,22.6,369.5,,,86.3,0,0.014,0.000,0.014,10.776,0.000,10.776,1.936,369.500,2.568,22.600,1.354,21.0807,189.29587,164205.60
75,32.01,29.86,315,3,H,119.0/29.5/139.0,1.6/17.6,1.6/19.2,1.6,0,17.6,18.8144,0,0,1.6,17.6,18.8144,19.2,20.5248,35.5248,119,29.5,139,,,119,0,0.013,0.000,0.013,22.577,0.000,22.577,2.076,139.000,2.143,29.500,1.470,16.4416,309.33810,230911.20
76,29.71,29.88,317,4,KH,295.1/602/70/216.6,0.5/1.5/5.2,0.5/2.0/7.3,0.5,2,7.3,7.8037,0,0,2.5,7.3,7.8037,9.8,10.4762,25.4762,295.1,602,70,216.6,,295.1,602,0.002,0.003,0.005,9.364,0.000,9.364,2.470,216.600,2.336,70.000,1.845,7.3430,57.30267,165595.30
